Author	Title	Publisher	Shelf	Category	Subject
O'Reilly	This I Know Marketing Lessons from Under the Influence	Knopf Canada	3	Marketing	Marketing
Kaplan	Advancted Mathematics for Engineers	Addison Wesley	27	Mathematics	Advanced Foundations
Anton	Elementary Linear Algebra 3e	Wiley	27	Mathematics	Algebra
Bretscher	Linear Algebra with Applications	Prentice Hall	27	Mathematics	Algebra
Shields	Elementary Linear Algebra 3e	Worth	27	Mathematics	Algebra
Ellenberg	How Not to Be Wrong The Power of Mathematical Thinking	Penguin	37	Mathematics	Analysis
Anderson et al	Single Variable Calculus Student Solution Manual	Thomson Brooks	27	Mathematics	Calculus
Campbell	Calculus and Analytic Geometry 2e	"Prindle, Weber & Schmidt"	1	Mathematics	Calculus
Campbell and Dierker	Student Supplement to Accompany Calculus with Analytic Geometry	"Prindle, Weber & Schmidt"	27	Mathematics	Calculus
Clegg and Frank	Multivariable Calculus Student Solution Manual	Thomson Brooks	27	Mathematics	Calculus
Hurley	Intermediate Calculus	Saunders College	1	Mathematics	Calculus
Repka	Calculus with Analytic Geometry	WCB	1	Mathematics	Calculus
schew	"Div, Grad, Curl, and all That an Informal Text on Vector Calculus"	W W Norton	27	Mathematics	Calculus
Stewart	Calculus Eary Transcendentals	Thomson Brooks	27	Mathematics	Calculus
Stewart et al	Calculus a First Course	McGraw Hill	27	Mathematics	Calculus
Thomas and Finney	Calculu and Analytic Geometry	Addison Wesley	27	Mathematics	Calculus
Boyce and DiPrima	Elementary Differential Equations and Boundary Value Problems 3e	John Wiley & Sons	27	Mathematics	Differential Equations
Zill	A First Course in Differential Equationds 2e	"Prindle, Weber & Schmidt"	27	Mathematics	Differential Equations
Pogorelov	Differential Geometry	Noordhoff	1	Mathematics	Differential Geometry
Kreyszig	Differential Geometry	Dover	Island	Mathematics	Differential Geometry
Epp	Discrete Mathematics With Applications 3e	Brooks/Cole	1	Mathematics	Discrete Math
Epp	Solutions Manual for Discrete Mathematics With Applications 3e	Brooks/Cole	1	Mathematics	Discrete Math
Grimaldi	Discrete and Combinatorial Mathematics	Pearson	1	Mathematics	Discrete Math
Liu	Elements of Discrete Mathematics	McGraw Hill	1	Mathematics	Discrete Math
Dottori et al	Foundations of Mathematics 12	McGraw Hill	27	Mathematics	Foundations
Tolstov	Fourier Series	Dover	Island	Mathematics	Fourier
Pedoe	Geometry a Comprehensive Course	Dover	2	Mathematics	Geometry
Trudeau	Introduction to Graph Theory	Dover	2	Mathematics	Graph Theory
Thomason	Symbolic logic an introductiomn	Macmillan	27	Mathematics	Logic
Velleman	How To Prove It A Structured Approach 2e	Cambridge University Press	Island	Mathematics	Logic
Ross	A First Course in Probability 8e	Prentice Hall	27	Mathematics	Probability
Scheaffer abnd Mendenhall	Introduction to Probability Theory and Applications	Duxburry Press	27	Mathematics	Probability
Rozanov	Probability Theory: A Concise Course	Dover	Island	Mathematics	Probability
Moore et al	Introduction to the Practice of Statistics 6e	Freeman	27	Mathematics	Statistics
Mendelson	Introduction to Topology 3e	Dover	Island	Mathematics	Topology
Beer and Johnston	Vector Mechanics for Engineers Statics and Dynamics	McGraw Hill	27	Mathematics	Vector Mechanics
Graves	The Greek Myths Volume 1	Folio	19	Mythology	Greek
Graves	The Greek Myths Volume 2	Folio	19	Mythology	Greek
Macpherson	Four Ages of Man	Macmillan	15	Mythology	Greek
Charan et al	The Leadership Pipeline How to Build the Leadership Powered Company	Jossey-Bass	37	Nonfiction	Business
Clifton	Discover Your Clifton Strengths	Gallup	37	Nonfiction	Business
Boy Scouts of Canada	Canadian Scout Handbook 3e	National Council Boy Scouts of Canada	18	Nonfiction	Children
Lebowitz	The Fran Leowitz Reader	Vintage	16	Nonfiction	Essays
Smith	How to do Nothing with NoBody All Alone by Yourself	Tin House Books	37	Nonfiction	Humour
Manson	Everything is F*cked	Harper	37	Nonfiction	Self help
Manson	The Subtle Art of Not Giving a F*ck	Harper	37	Nonfiction	Self help
Charlton	1975 standard catalogue of Canadian coins tokens & paper money	Charlton	7	Numismatics	Canadian
Reinfelt	Coin Collectors' Handbook	Sterling	7	Numismatics	Canadian
Whitman	Canadian Dime Collection 1937 to DATE Number Two	Whitman	7	Numismatics	Canadian
Whitman	Canadian Half Dollar Collection 19561 to DATE Number Two	Whitman	7	Numismatics	Canadian
Whitman	Canadian Nickel Collection 1922 to 1960 Number One	Whitman	7	Numismatics	Canadian
Whitman	Canadian Quarter Collecton 1911 to 1952 Number Two	Whitman	7	Numismatics	Canadian
Whitman	Canadian Silver Dollar Collection 1935 to 1957 Number One	Whitman	7	Numismatics	Canadian
Whitman	Canadian Small Cent Collection 1920 to DATE	Whitman	7	Numismatics	Canadian
FESS	Yearbook 88-89	FESS	19	Personal	Yearbook
FESS	Yearbook 89-90	FESS	19	Personal	Yearbook
FESS	Yearbook 90-91	FESS	19	Personal	Yearbook
Cooper	Aesthetics	Wiley	Island	Philosophy	Aesthetics
Sim	Introducing Critical Theory	Icon	3	Philosophy	Critical Theory
Sardar	Introducing Cultural Studies	Icon	3	Philosophy	Cultural Studies
Singer	Practical Ethics 2e	Cambridge University Press	30	Philosophy	Ethics
Bakewell	At the existential café	Vintage Canada	36	Philosophy	Existentialism
Bakewell	At the existential café	Vintage Canada	36	Philosophy	Existentialism
Descartes	Meditations and Other Metaphysical Writings	Penguin Classics	29	Philosophy	French
Montaigne	Selections from the essays	Croft Classics	29	Philosophy	French
Aristotle	Ethics	Folio	16	Philosophy	Greek
Cicero	On the good life	Folio	16	Philosophy	Greek
Plato	Republic	Folio	16	Philosophy	Greek
Russell	The History of Western Philosophy	Folio	28	Philosophy	History
Kreet	Between Heaven & Hell A Dialog Somewhere Behind Death	IVP	30	Philosophy	Modern
Mi_osz	The Captive Mind	Vintage International	Island	Philosophy	Poland
Catholic Church	The New First Mass Book	The Catholic Publishing Company	28	Philosophy	Religious
Ishaq	The Life of Muhammad	Folio	7	Philosophy	Religious
Kurtz	The Transcdental Temptation A Critique of Religion and the Paranormal	Prometheus	7	Philosophy	Religious
Peterson	Reason & Religious Belief An Intro to the Philosophy of Religion	Oxford	7	Philosophy	Religious
Andrew	"Bilingual Today, French Tomorrow"	BMG	5	Politics	Canadian
Barnes	Programming in Ada 2005	Addison Wesley	20	Programming	Ada
Brechner	Agile Project Management with Kanban	Microsoft	35	Programming	Agile
Martin	Clean Agile	Pearson	28	Programming	Agile
Ries	Agile Project Management	Independent	35	Programming	Agile
Sutherland et al	Scrum	Currency	35	Programming	Agile
Knuth	The Art of Computer Programming Volume 1 Fundamental Algorithms	Addison Wesley	37	Programming	Algorithms
Knuth	The Art of Computer Programming Volume 2 Seminumerical Algorithms	Addison Wesley	37	Programming	Algorithms
Knuth	The Art of Computer Programming Volume 3 Sorting and Searching	Addison Wesley	37	Programming	Algorithms
Martin	Clean Architecture	Prentice Hall	22	Programming	Architecture
Levy	The Joy of Computer Chess	Prentice Hall	3	Programming	Artificial Intelligence
Leventhal	Z80 Assembly Language Programming	Osborne / McGraw-Hill	Island	Programming	Assembler
Struble	Assembler Language Programming The IBM System /360 and 370 2e	Addison Wesley	Island	Programming	Assembler
Albrecht et al	Basic 2e A Self-Teaching Guide	Wiley	Island	Programming	Basic
Kernighan and Ritchie	The C Programming Language	Prentice Hall	20	Programming	C
Kernighan and Ritchie	The C Programming Language 2e	Prentice Hall	20	Programming	C
"Nichols, Butlar, Farrell"	Pthreads	O'Reilly	20	Programming	C
Gottschling	Discovering Modern C++	Addison Wesley	36	Programming	C++
Meyers	Effective Modern C++	O'Reilly	36	Programming	C++
Prata	C++ Primer Plus 6e	Addison Wesley	36	Programming	C++
Stephens	The C++ Cookbook	O'Reilly	36	Programming	C++
Stroustrup	Programming Principles and Practice Using C++	Addison Wesley	36	Programming	C++
Stroustrup	The C++ Language 4e	Addison Wesley	36	Programming	C++
Cole et al	AWS Certified SysOps Administrator Official Stuy Guide	Sybex	35	Programming	Cloud
Piper	AWS Certified Solution Architect Study Guide	Sybex	35	Programming	Cloud
Ashley	ANS Cobol 2e	Wiley	1	Programming	Cobol
Brown	Advanced ANS Cobol with Structured Programming	Wiley	1	Programming	Cobol
Aho and Illman	Principles of Compiler Design	Addison Wesley	21	Programming	Compilers
Bornat	Understanding and Writing Compilers	Macmillan	21	Programming	Compilers
Guttag	Introduction to Computation and Programming Using Python	MIT Press	23	Programming	Computational Thinking
Gamma et al	Design Patterns	Addison Wesley	22	Programming	Design
Keeling	Design It! From Programmer to Software Architect	Pragmatic Bookshelf	35	Programming	Design
Larman	Applying UML and Patterns 3e	Prentice Hall	22	Programming	Design
Patton	User Story Mapping	O'Reilly	Reading	Programming	Design
Kim et al.	The DevOps Handbook	IT Revolution	35	Programming	Devops
"Kim, Behr, Spafford"	The Phoenix Project	IT Revolution	23	Programming	Devops
Fowler	Refactoring 2e	Pearson	22	Programming	Engineering
Kleppmann	Designing Data-Intensive Applications	O'Reilly	22	Programming	Engineering
Ousterhout	A Philosophy of Software Design	Yaknyam Press	35	Programming	Engineering
Petre and van der Hoek	Software Design Decoded 66 Ways Experts Thinkl	MIT Press	35	Programming	Engineering
Brooks	The Mythical Man-Month Essays on Software Engineering	Addison Wesley	3	Programming	Engineering
Bunt	Structured Fortran	McGraw Hill	1	Programming	Fortran
Botsch et al	Polygon Mesh Processing	A K Peters	22	Programming	Graphics
Foley and Van Dam	Fundamentals of Interactive Computer Graphics	Addison Wesley	21	Programming	Graphics
Dowd	Getting Connected The Internet at 56k and Up	O'Reilly	Island	Programming	History
Bagnall	Maximum Lego EV3	Variant Press	Students	Programming	Java
"Barnes, Kolling"	Objects First With Java 6e	Pearson	20	Programming	Java
Bloch	Effective Java 3e	Addison Wesley	22	Programming	Java
Deiter	Jave How to Program 10e	Pearson	22	Programming	Java
Goetz et al	Java Concurrency in Practice	Addison Wesley	22	Programming	Java
Horstmann	Core Java Volume 1 11e	Prentice Hall	22	Programming	Java
Horstmann	Core Java Volume 2 11e	Prentice Hall	22	Programming	Java
Horstmann	Java SE 8 For The Really Impatient	Addison Wesley	22	Programming	Java
Langr	Pragmatic Unit Testing in Java 8 With Junit	Pragmatic Bookshelf	22	Programming	Java
Markham	Java Programming Interviews Exposed	Wrok	20	Programming	Java
Richardson	Microservice Patterns	Manning	Reading	Programming	Java
Ducket	JavaScript and Jquery	Wiley	35	Programming	JavaScript
Haverbeke	Eloquent JavaScript	No Starch Press	35	Programming	JavaScript
Gaston	How to use Objects Code and Concepts	Addison Wesley	23	Programming	Object Oriented
Arpaci-Dusseau et al	Operating Systems: Three Easy Pieces	CreateSpace	35	Programming	Operating Systems
Grogono	Programming in PASCAL Revised edition	Addison Wesley	Island	Programming	Pascal
Heiserman	Pascal	TAB	Island	Programming	Pascal
Ghezzi et al	Programming Language Concepts	Wiley	21	Programming	Programming
Krishnamurthi	Programming Languages	Brown	1	Programming	Programming
Lin	Principles of Parallel Programming	Pearson	1	Programming	Programming
Standish	Data Structure Techniques	Addison Wesley	21	Programming	Programming
Chou	Mastering Python Networking	Packt	23	Programming	Python
Danjou	Serious Python	No Starch Press	23	Programming	Python
Gaddis	Starting out with Python 4th edition copy 1	Pearson	23	Programming	Python
Gift et al.	Python For DevOps	O'Reilly	23	Programming	Python
Gries et al	Practical Programming 3e An Intro to CS Using Python 3.6	Pragmatic Bookshelf	23	Programming	Python
Kirk	Thoughtful Machine Learning with Python	O'Reilly	23	Programming	Python
Lee	Python Machine Learning	Wiley	23	Programming	Python
Lott	Mastering Object-Oriented Python 2e	Packt	23	Programming	Python
Percival	Test-Driven Development wih Python	O'Reilly	23	Programming	Python
Phillips	Python 3 Object Oriented Programming 3e	Packt	23	Programming	Python
Ramalho	Fluent Python	O'Reilly	23	Programming	Python
Slatkin	Effective Python 2e	Addison Wesley	23	Programming	Python
Sweigart	Automate the Boring Stuff With Python 2e	No Starch Press	23	Programming	Python
Gore and Stubbe	Elements of Systems Analysis	William C Brown	21	Programming	Systems Analysis
Satzinger et al	Systems Analysis & Design in a Changing World 4e	Thomson Brooks	21	Programming	Systems Analysis
Tarlinder	Developer Testing	Addison Wesley	22	Programming	Testing
Knuth	The TEXbook	Addison Wesley	Island	Programming	Tex
Ducket	HTML and CSS Design and Build Websites	Wiley	20	Programming	Web
Katz	Xquery from the Experts	Addison Wesley	Island	Programming	Xquery
McWhirter (ed)	Guinness Book of World Records 1978	Guinness Superlatives	26	Reference	Human feats
Saunders	Small Craft Piloting & Coastal Navigation	RTP Sales	19	Sailing	Navigation
Seidman	The Complete Sailor Learning the Art of Sailing	McGraw Hill	19	Sailing	Sailing
Donald (ed)	The Classic Civil Aircraft Guide From 1920 to 1964	Prospero Books	25	Science	Aeronautics
Harari	Homo Deus	McClelland and Stewart	36	Science	Anthropology
Harari	Sapiens A Brief History of Humankind	Signal	35	Science	Anthropology
Papaginni	The Neanderthals Rediscovered	Thames & Hudson	37	Science	Anthropology
Enright	The Beginner's Observing Guide	Royal Astronomical Society of Canada	3	Science	Astronomy
Muller	Nemesis The Death Star The Story of a Scientific Revolution	Weidenfeld & Nicholson	17	Science	Astronomy
Oceana	Night Sky Pocket Guide	Oceana	9	Science	Astronomy
Mazda	2008 Mazda MX-5 Owner's Manual	Mazda	17	Science	Automobile
Budiansky	The Character of Cats	Viking	17	Science	Biology
Darwin	The Voyage of HMS Beagle	Folio	5	Science	Biology
Gould	The Structure of Evolutionary Theory	Harvard University Press	28	Science	Biology
Sapolsky	A primate's memoire	Scribner	36	Science	Biology
Sapolsky	Behave: The Biology of Humans at Our Best and Worst	Penguin	37	Science	Biology
Pojar	Plants of Coastal British Columbia	Partners	37	Science	Botany
Tracey	Vancouver Tree Book	Pure wave media	22	Science	Botany
Change	Chemistry 4e	McGraw Hill	26	Science	Chemistry
Mills and Chang	Student Solutions Manual to Accompany Chemistry 4e	McGraw Hill	26	Science	Chemistry
Mortimer	Chemistry A Conceptual Approach 4e	D Van Nostrand	26	Science	Chemistry
Curzon	The Power of Computational Thinking	World Specific	36	Science	Computational Thinking
Filho	Computer Science Distilled	Code Energy	22	Science	Computational Thinking
Krauss	Computational Thinking {and Coding} for Every Student	Corwin	36	Science	Computational Thinking
Levesque	Thinking as Computation A First Course	MIT Press	36	Science	Computational Thinking
Riley	Computational Thinking for the Modern Problem Solver	CRC Press	36	Science	Computational Thinking
Ascher and Greif	A First Course in Numerical Methods	SIAM	21	Science	Computer science
Burden et ak	Numerical Analysis 2e	PWS	21	Science	Computer science
Christian	Algorithms to Live By The Computer Science of Human Decisions	Picador	Reading	Science	Computer science
Givone and Roesser	Microprocessor / Micrcomputers: An Introduction	McGraw Hill	Island	Science	Computer science
Kleinberg and Tardos	Algorithm Design	Addison Wesley	21	Science	Computer science
Lewis and Papadimitriou	Elements of the Theory of Computations	Prentice Hall	Island	Science	Computer science
Mano	Digital Logic and Computer Design	Prentice Hall	Island	Science	Computer science
Nisan and Schocken	The Elements of Computer Systems	MIT Press	21	Science	Computer science
Tanenbaum	Computer Networks	Prentice Hall	Island	Science	Computer science
Tremblay and Bunt	An Introduction to Computer Science an Algorithmic Approach	McGraw Hill	Island	Science	Computer science
Wolfram	A New Kind of Science	Wolfram Media	26	Science	Computer science
Zaks	From Chips to Systems: An Introduction to Microprocessors	Sybex	Island	Science	Computer science
Bryant and O'Hallaron	Computer Systems A Programmer's Perspective 2e	Prentice Hall	21	Science	Computer systems
Forsyth and Ponce	Computer Vision a Modern Approach 2e	Prentice Hall	21	Science	Computer vision
Randall	Dark Matter and the Dinosaurs	Ecco	3	Science	Cosmology
Platt	How Not to Be Wrong The Power of Mathematical Thinking	Maker Media	35	Science	Electronics
Wohlleben	The Hidden Life of Trees	Greystone	2	Science	Environmentalism
Brickell (ed)	Practical Guide to Gardening in Canada	Reader's Digest	25	Science	Gardening
Clevely	The New Guide to Herbs	Ultimate Editions	25	Science	Gardening
Colborn	The Container Garden	"Little, Brown and Company"	26	Science	Gardening
Harbison and James	The Italian Garden	Abrams	25	Science	Gardening
Innes	The Ornamental Gardener	Headline	26	Science	Gardening
Loxton	History of the Garden Its Evolution & Design	Bounty Books	31	Science	Gardening
McHoy	Houseplants	Hermes House	17	Science	Gardening
Stevens	The Garden Design Sourcebook	Raincoast Books	26	Science	Gardening
Van Patten	New Revised Gardening Indoors	Van Patten	26	Science	Gardening
David et al	Geology Our Physical Environment	McGraw Hill	16	Science	Geology
Alexander	The Endurance Shackleton's Legendary Antarctic Expedition	Alfred A Knopf	16	Science	History
Kurlansky	Salt	Peng	35	Science	History
Dawkins	The God Delusion	Mariner	3	Science	Irreligion
McWhorter	The Power of Babel a Natural History of Language	Times	5	Science	Linguistics
Pinker	The Language Instinct	William Morrow and Co	5	Science	Linguistics
Fisher and Loxton	Secrets of the Maze	Thames & Hudson	25	Science	Mazes
Bolton et al	Cuerrent Atlas Juan de Fuca Strait to Strait of Georgia	Canadian Hydrographice Service	25	Science	Oceanography
Thomson	Oceanography of the British Columbia Coast	Department of Fisheries and Oceans	25	Science	Oceanography
Peterson and Silberschatz	Operating System Concetra	Addison Wesley	21	Science	Operating systems
Sterland	Energy into Power	Aldus Books London	19	Science	Physics
Bryson	A Short History Of Nearly Everything	Anchor	37	Science	Popular
Arduino	Arduino Projects Book	Arduino	35	Science	Robotics
Perdue	The Unofficial Lego Mindstorms NXT Inventor's Guide	No Starch Press	Lego	Science	Robotics
Griffin (ed)	Inside Out The Best of National Geographic Diagrams and Cutaways	National Geographic Society	31	Science	Science
Thompson	America's Lost Treasure A Pictorial Chronicle of the Sinking and Recovery of the United States Mail Steamship Central America	Atlantic Monthly Press	25	Science	Shipwrecks
Schaap	An Illustrated History of the Olympics 3e	Ballantine	19	Sports	Olympics
Midgley (ed) et al	Rules of The Game The Complete Illustrated Encyclopedia of all the Sports of the World	Bantam	31	Sports	Sports
Kondo	The life-changing magic of tidying up	Ten speed press	22	Technology	Organization theory
Campbell	Creative Medieval Designs for Applique		34	Technology	Quilting
Fassett	Glorious Patchwork		34	Technology	Quilting
Goldberg	The New Quilting and Patchwork Dictionary		34	Technology	Quilting
James	The Quiltmaker's Handbook		34	Technology	Quilting
James	The Second Quiltmaker's Handbook		34	Technology	Quilting
Leone	The New Sampler Quilt		34	Technology	Quilting
Pattullo	Textile Collage	Batsford	Island	Technology	Quilting
Aldrich	Metric Pattern Cutting for Men		34	Technology	Sewing
Doyle	Laundry the Whys and Hows of Cleaning Clothes		34	Technology	Sewing
Doyle	The Art of the Tailor		Gaby	Technology	Sewing
Gaston	Learn Upholstery		34	Technology	Sewing
Hemingway	The Encyclopedia of Stitches		34	Technology	Sewing
Shaeffer	Couture Sewing Techniques		34	Technology	Sewing
Shaeffer	High-Fashion Sewing Secrets		34	Technology	Sewing
Singer	Sewing for the Home		34	Technology	Sewing
Threads	Great Sewn Clothes		34	Technology	Sewing
Brackmann	The Surface Designer's Handbook		34	Technology	Textiles
Gordon	Textiles the Whole Story		35	Technology	Textiles
Berman	Eyewitness Travel New York	Dorling Kindersley	7	Travel	America
Okamoto	Golden Gate National Recreation Area Guide to the Parks	Golden Gate National Park Association	17	Travel	American
Dattani et al	The Rough Guide to Cambodia	Rough Guides	20	Travel	Cambodia
Ray et al	Cambodia	Lonely Planet	20	Travel	Cambodia
Shoalts	Beyond The Trees A Journey Alone Across Canada's Arctic	Allen Lane	20	Travel	Canadian
Harper	Lonely Planet Hong Kong	Lonely Planet	7	Travel	China
Harper	Lonely Planet Shanghai City Guide	Lonely Planet	7	Travel	China
Ceriani	Eyewitness Tavel Croatia	Dorling Kindersley	7	Travel	Croatia
Soukup	Eyewitness Travel 2014 Prague	Dorling Kindersley	7	Travel	Czechia
Leapman	Eyewitness Travel London	Dorling Kindersley	7	Travel	England
Williams	Eyewitness Travel Top 10 London	Dorling Kindersley	7	Travel	England
Frommer's	Europe on $40 a Day (1990)	Frommer's	5	Travel	Europe
McKelvie	Top 10 Dubrovnik and the Dalmatian Coast	Dorling Kindersley	5	Travel	Europe
Menkes-Ivry	3-D City Guides Paris	Duncan Petersen	7	Travel	France
Porter	Frommer's Paris 2011	Wiley	7	Travel	France
Tillier	Eyewitness Travel 2014 Paris	Dorling Kindersley	7	Travel	France
Scheunemann	Eyewitness Travel Top 10 Berlin	Dorling Kindersley	7	Travel	Germany
Eyewitness Travel	Milan and The Lakes	DK	21	Travel	Italy
Eyewitness Travel	Rome 2017	DK	21	Travel	Italy
Eyewitness Travel	Top 10 Florence and Tuscany	DK	21	Travel	Italy
Bender	Lonely Planet Tokyo City Guide	Lonely Planet	7	Travel	Japan
Ghose	Eyewitness Travel Tokyo	Dorling Kindersley	7	Travel	Japan
Reiber	Frommer's Japan 9th Edition	Wiley	7	Travel	Japan
Richmond	The Rough Guide To Japan	Rough Guide	7	Travel	Japan
Inman	Eyewitness Travel Mexico	Dorling Kindersley	7	Travel	Mexico
Czerniewicz-Umer	Eyewitness Travel Cracow	Dorling Kindersley	7	Travel	Poland
Niven	Lonely Planet Sri Lanka	Lonely Planet	7	Travel	Sri Lanka
Eyewitness Travel	Vietnam	DK	20	Travel	Vietnam
Montgomery	Happy City Transforming Our Lives Through Urban Design	Doubleday	3	Urban Studies	City Planning
Ellard	Places of the Heart The Psychogeography of Everyday Life	Bellevue Literary Press	3	Urban Studies	Psychogeography
Ovenden	Transit Maps of the World	Penguin	5	Urban Studies	Transportation
Schwartz	Street Smart The Rise of Cities and the Fall of Cars	Public Affairs	3	Urban Studies	Transportation
Strawbridge Howard	Dancing with Bees A Journey back to Nature	Chelsea Green Publishing	Reading	Science	Biology
Neville	Janet Frame's World of Books	ibidem-verlag	Reading	Literature	English
Wiltshire	Home Computers: 100 Icons that Defined a Digital Generation	MIT Press	Reading	Technology	History
Grohmann	Paul Klee	"Harry N. Abrams, Inc."	Reading	Art	Fine Art
Charles	Wildness An Ode to Newfoundland and Labrador	Phaidon	Reading	Cooking	Canadian
Sinclair	Morrisseau	Editions Franco-Amerique	Reading	Art	Canadian
